#        St             St-Stc         efficiency   
   0.334218086133   0.000010000000   0.000780612230 
   0.334219319373   0.000011233240   0.000827282667 
   0.334220704702   0.000012618569   0.000876754522 
   0.334222260875   0.000014174742   0.000929206610 
   0.334224008961   0.000015922828   0.000984817743 
   0.334225972628   0.000017886495   0.001043766737 
   0.334228178463   0.000020092330   0.001106232405 
   0.334230656330   0.000022570197   0.001172453165 
   0.334233439778   0.000025353645   0.001242607832 
   0.334236566492   0.000028480359   0.001317054033 
   0.334240078804   0.000031992671   0.001395910978 
   0.334244024270   0.000035938137   0.001479476690 
   0.334248456306   0.000040370173   0.001568049192 
   0.334253434918   0.000045348785   0.001661986113 
   0.334259027513   0.000050941380   0.001761585474 
   0.334265309810   0.000057223677   0.001867085695 
   0.334272366864   0.000064280731   0.001978963614 
   0.334280294223   0.000072208090   0.002097576857 
   0.334289199216   0.000081113083   0.002223283052 
   0.334299202409   0.000091116276   0.002356618643 
   0.334310439235   0.000102353102   0.002497881651 
   0.334323061833   0.000114975700   0.002647727728 
   0.334337241100   0.000129154967   0.002806574106 
   0.334353169011   0.000145082878   0.002974957228 
   0.334371061216   0.000162975083   0.003153592348 
   0.334391159961   0.000183073828   0.003342956305 
   0.334413737364   0.000205651231   0.003543764353 
   0.334439099103   0.000231012970   0.003756731749 
   0.334467588554   0.000259502421   0.003982573748 
   0.334499591439   0.000291505306   0.004222184420 
   0.334535541049   0.000327454916   0.004476338625 
   0.334575924110   0.000367837977   0.004745930433 
   0.334621287373   0.000413201240   0.005032032728 
   0.334672245016   0.000464158883   0.005335599184 
   0.334729486962   0.000521400829   0.005657821894 
   0.334793788215   0.000585702082   0.005999833345 
   0.334866019358   0.000657933225   0.006362944841 
   0.334947158336   0.000739072203   0.006748527288 
   0.335038303701   0.000830217568   0.007158130407 
   0.335140689480   0.000932603347   0.007593244314 
   0.335255701886   0.001047615753   0.008055716753 
   0.335384898085   0.001176811952   0.008547335863 
   0.335530027281   0.001321941148   0.009070187807 
   0.335693054395   0.001484968262   0.009626418352 
   0.335876186670   0.001668100537   0.010218471289 
   0.336081903556   0.001873817423   0.010848909616 
   0.336312990278   0.002104904145   0.011520594358 
   0.336572575546   0.002364489413   0.012236744165 
   0.336864173916   0.002656087783   0.013000696898 
   0.337191733373   0.002983647240   0.013816267252 
   0.337559688784   0.003351602651   0.014687627554 
   0.337973021940   0.003764935807   0.015619426966 
   0.338437329007   0.004229242874   0.016616791487 
   0.338958896295   0.004750810162   0.017685502768 
   0.339544785364   0.005336699231   0.018831819296 
   0.340202928636   0.005994842503   0.020062953234 
   0.340942236791   0.006734150658   0.021386831999 
   0.341772719409   0.007564633276   0.022812455893 
   0.342705620492   0.008497534359   0.024349778891 
   0.343753570700   0.009545484567   0.026010125875 
   0.344930758353   0.010722672220   0.027806192636 
   0.346253121536   0.012045035403   0.029752105474 
   0.347738563879   0.013530477746   0.031863898039 
   0.349407196963   0.015199110830   0.034159392118 
   0.351281612608   0.017073526475   0.036658555269 
   0.353387188750   0.019179102617   0.039383500814 
   0.355752433033   0.021544346900   0.042358845472 
   0.358409368781   0.024201282648   0.045611411333 
   0.361393968560   0.027185882427   0.049170523882 
   0.364746641221   0.030538555088   0.053067713976 
   0.368512778996   0.034304692863   0.057336539030 
   0.372743372070   0.038535285937   0.062011927366 
   0.377495698944   0.043287612811   0.067137211561 
   0.382834101934   0.048626015801   0.072756737471 
   0.388830858310   0.054622772177   0.078908413649 
   0.395567158867   0.061359072734   0.085625857115 
   0.403134207177   0.068926121043   0.092936903238 
   0.411634454401   0.077426368268   0.100861400366 
   0.421182986395   0.086974900262   0.109409064054 
   0.431909081863   0.097700995730   0.118577092886 
   0.443957962682   0.109749876549   0.128348320723 
   0.457492760077   0.123284673944   0.138689368963 
   0.472696723272   0.138488637139   0.149550527334 
   0.489775700526   0.155567614393   0.160864681005 
   0.508960926134   0.174752840001   0.172549575567 
   0.530512151137   0.196304065004   0.184508770704 
   0.554721160123   0.220513073990   0.196635097265 
   0.581915721732   0.247707635599   0.208814650774 
   0.612464026354   0.278255940221   0.220931202173 
   0.646779671102   0.312571584969   0.232870668173 
   0.685327259555   0.351119173422   0.244523495436 
   0.728628692077   0.394420605944   0.255792528391 
   0.777270231891   0.443062145758   0.266593784094 
   0.831910442566   0.497702356433   0.276859015226 
   0.893289104384   0.559081018251   0.286535531282 
   0.962237230316   0.628029144183   0.295589178801 
   1.039688317205   0.705480231072   0.304002553225 
   1.126690984487   0.792482898354   0.311770349741 
   1.224423171578   0.890215085445   0.318903058767 
   1.334208086133   1.000000000000   0.325419276953 
