#        St             St-Stc         efficiency   
   0.251000000000   0.001000000000   0.000000000000 
   0.251072267222   0.001072267222   0.000000000000 
   0.251149756995   0.001149756995   0.000000000000 
   0.251232846739   0.001232846739   0.000000000000 
   0.251321941148   0.001321941148   0.000000000000 
   0.251417474163   0.001417474163   0.000000000000 
   0.251519911083   0.001519911083   0.000000000000 
   0.251629750835   0.001629750835   0.000000000000 
   0.251747528400   0.001747528400   0.000000000000 
   0.251873817423   0.001873817423   0.000000000000 
   0.252009233003   0.002009233003   0.000000000000 
   0.252154434690   0.002154434690   0.000000000000 
   0.252310129700   0.002310129700   0.000000000001 
   0.252477076356   0.002477076356   0.000000000003 
   0.252656087783   0.002656087783   0.000000000008 
   0.252848035868   0.002848035868   0.000000000022 
   0.253053855509   0.003053855509   0.000000000054 
   0.253274549163   0.003274549163   0.000000000131 
   0.253511191734   0.003511191734   0.000000000308 
   0.253764935807   0.003764935807   0.000000000705 
   0.254037017259   0.004037017259   0.000000001564 
   0.254328761281   0.004328761281   0.000000003376 
   0.254641588834   0.004641588834   0.000000007096 
   0.254977023564   0.004977023564   0.000000014535 
   0.255336699231   0.005336699231   0.000000029040 
   0.255722367659   0.005722367659   0.000000056630 
   0.256135907273   0.006135907273   0.000000107888 
   0.256579332247   0.006579332247   0.000000200956 
   0.257054802311   0.007054802311   0.000000366232 
   0.257564633276   0.007564633276   0.000000653534 
   0.258111308308   0.008111308308   0.000001142764 
   0.258697490026   0.008697490026   0.000001959227 
   0.259326033469   0.009326033469   0.000003295683 
   0.260000000000   0.010000000000   0.000005442711 
   0.260722672220   0.010722672220   0.000008829926 
   0.261497569954   0.011497569954   0.000014080562 
   0.262328467394   0.012328467394   0.000022084639 
   0.263219411485   0.013219411485   0.000034085694 
   0.264174741629   0.014174741629   0.000051791871 
   0.265199110830   0.015199110830   0.000077525907 
   0.266297508346   0.016297508346   0.000114367018 
   0.267475284000   0.017475284000   0.000166347375 
   0.268738174229   0.018738174229   0.000238681098 
   0.270092330026   0.020092330026   0.000337960622 
   0.271544346900   0.021544346900   0.000472463426 
   0.273101297001   0.023101297001   0.000652358751 
   0.274770763560   0.024770763560   0.000889976668 
   0.276560877829   0.026560877829   0.001200070225 
   0.278480358684   0.028480358684   0.001600056997 
   0.280538555088   0.030538555088   0.002109948512 
   0.282745491629   0.032745491629   0.002753022662 
   0.285111917342   0.035111917342   0.003554727021 
   0.287649358068   0.037649358068   0.004544273424 
   0.290370172586   0.040370172586   0.005752322860 
   0.293287612811   0.043287612811   0.007212210546 
   0.296415888336   0.046415888336   0.008959743387 
   0.299770235643   0.049770235643   0.011029410497 
   0.303366992312   0.053366992312   0.013458252227 
   0.307223676594   0.057223676594   0.016280637190 
   0.311359072734   0.061359072734   0.019530497342 
   0.315793322466   0.065793322466   0.023237485205 
   0.320548023107   0.070548023107   0.027429143373 
   0.325646332755   0.075646332755   0.032124139889 
   0.331113083079   0.081113083079   0.037341504986 
   0.336974900262   0.086974900262   0.043090452644 
   0.343260334688   0.093260334688   0.049368150889 
   0.350000000000   0.100000000000   0.056168574779 
   0.357226722201   0.107226722201   0.063481430138 
   0.364975699540   0.114975699540   0.071281779217 
   0.373284673944   0.123284673944   0.079546894685 
   0.382194114847   0.132194114847   0.088231045043 
   0.391747416293   0.141747416293   0.097299731903 
   0.401991108295   0.151991108295   0.106706527758 
   0.412975083462   0.162975083462   0.116392077377 
   0.424752840001   0.174752840001   0.126318966015 
   0.437381742286   0.187381742286   0.136419143748 
   0.450923300257   0.200923300257   0.146636786787 
   0.465443469003   0.215443469003   0.156926056115 
   0.481012970008   0.231012970008   0.167218940065 
   0.497707635599   0.247707635599   0.177475538304 
   0.515608778295   0.265608778295   0.187636259905 
   0.534803586844   0.284803586844   0.197657091035 
   0.555385550883   0.305385550883   0.207494074101 
   0.577454916288   0.327454916288   0.217108545328 
   0.601119173422   0.351119173422   0.226478306516 
   0.626493580679   0.376493580679   0.235552365231 
   0.653701725860   0.403701725860   0.244330017182 
   0.682876128108   0.432876128108   0.252777053379 
   0.714158883361   0.464158883361   0.260879195899 
   0.747702356433   0.497702356433   0.268628686934 
   0.783669923121   0.533669923121   0.276020201147 
   0.822236765935   0.572236765935   0.283050634289 
   0.863590727341   0.613590727341   0.289718779860 
   0.907933224658   0.657933224658   0.296024911381 
   0.955480231072   0.705480231072   0.301982554199 
   1.006463327555   0.756463327555   0.307603014601 
   1.061130830790   0.811130830790   0.312875557677 
   1.119749002618   0.869749002618   0.317847002331 
   1.182603346883   0.932603346883   0.322494135499 
   1.250000000000   1.000000000000   0.326853530556 
