#        St             St-Stc         efficiency   
   0.605313805699   0.001000000000   0.009888499975 
   0.605647327132   0.001333521432   0.011419266462 
   0.606092085109   0.001778279410   0.013187199831 
   0.606685179405   0.002371373706   0.015228897333 
   0.607476083360   0.003162277660   0.017586976290 
   0.608530770734   0.004216965034   0.020310431719 
   0.609937218951   0.005623413252   0.023456126451 
   0.611812747793   0.007498942093   0.027089506388 
   0.614313805699   0.010000000000   0.031286388636 
   0.617649020021   0.013335214322   0.036134094000 
   0.622096599800   0.017782794100   0.041733294725 
   0.628027542756   0.023713737057   0.048199206591 
   0.635936582301   0.031622776602   0.055662661791 
   0.646483456042   0.042169650343   0.064270108938 
   0.660547938218   0.056234132519   0.074180811644 
   0.679303226633   0.074989420933   0.085559695959 
   0.704313805699   0.100000000000   0.098562031984 
   0.737665948916   0.133352143216   0.113305836916 
   0.782141746703   0.177827941004   0.129828244448 
   0.841451176266   0.237137370566   0.148144513369 
   0.920541571716   0.316227766017   0.168389767408 
   1.026010309128   0.421696503429   0.190357238054 
   1.166655130890   0.562341325190   0.213579863310 
   1.354208015032   0.749894209332   0.237378686666 
   1.604313805699   1.000000000000   0.260951787233 
